t_ms,ax,ay,az,gx,gy,gz
7679890,-0.0206298828125,-0.0091552734375,1.0,2.0751953125,2.197265625,3.173828125
7679899,-0.0206298828125,-0.0098876953125,1.0001220703125,1.953125,2.38037109375,3.173828125
7679907,-0.0198974609375,-0.010009765625,0.9986572265625,2.01416015625,2.25830078125,3.2958984375
7679916,-0.0198974609375,-0.010498046875,0.9991455078125,2.13623046875,2.197265625,3.35693359375
7679924,-0.0198974609375,-0.010986328125,0.9986572265625,2.0751953125,2.13623046875,3.35693359375
7679934,-0.018310546875,-0.0126953125,0.9991455078125,2.0751953125,2.13623046875,3.23486328125
7679941,-0.0181884765625,-0.0113525390625,0.9986572265625,2.01416015625,2.13623046875,3.2958984375
7679950,-0.018310546875,-0.01171875,0.999267578125,1.953125,2.13623046875,3.173828125
7679959,-0.0198974609375,-0.0096435546875,1.00048828125,2.13623046875,2.197265625,3.11279296875
7679967,-0.0211181640625,-0.010009765625,0.9998779296875,2.01416015625,2.3193359375,3.23486328125
7679976,-0.02099609375,-0.0086669921875,1.0,2.197265625,2.25830078125,3.2958984375
7679985,-0.021240234375,-0.0098876953125,0.9989013671875,2.0751953125,2.25830078125,3.11279296875
7679993,-0.02001953125,-0.01025390625,0.998779296875,1.89208984375,2.197265625,3.173828125
7680002,-0.0194091796875,-0.011474609375,1.0001220703125,2.197265625,2.197265625,3.173828125
7680010,-0.018310546875,-0.010986328125,0.9991455078125,1.89208984375,2.13623046875,3.11279296875
7680018,-0.01806640625,-0.011962890625,0.9990234375,1.89208984375,2.01416015625,3.173828125
7680027,-0.017822265625,-0.01171875,0.998291015625,1.953125,1.953125,3.173828125
7680036,-0.0184326171875,-0.0103759765625,0.99853515625,1.89208984375,2.0751953125,3.23486328125
7680046,-0.0191650390625,-0.0106201171875,0.999267578125,2.0751953125,2.25830078125,3.173828125
7680053,-0.0194091796875,-0.009765625,0.9998779296875,2.13623046875,2.25830078125,3.11279296875
7680062,-0.01953125,-0.008544921875,1.0001220703125,2.01416015625,2.197265625,3.0517578125
7680070,-0.020263671875,-0.008544921875,1.0003662109375,2.01416015625,2.3193359375,3.11279296875
7680078,-0.019775390625,-0.01025390625,0.9993896484375,1.89208984375,2.25830078125,3.11279296875
7680087,-0.02001953125,-0.0107421875,0.9996337890625,1.89208984375,2.25830078125,3.23486328125
7680096,-0.0194091796875,-0.010986328125,0.9991455078125,1.953125,2.197265625,3.23486328125
7680104,-0.019287109375,-0.0111083984375,0.9986572265625,2.01416015625,2.0751953125,3.11279296875
7680113,-0.0194091796875,-0.0113525390625,0.999267578125,1.953125,2.0751953125,3.173828125
7680121,-0.01904296875,-0.011474609375,1.0001220703125,1.89208984375,2.0751953125,3.173828125
7680130,-0.01953125,-0.010498046875,0.9984130859375,1.89208984375,2.13623046875,3.173828125
7680138,-0.01953125,-0.009765625,0.9989013671875,1.89208984375,2.197265625,3.23486328125
7680147,-0.019775390625,-0.010498046875,0.9998779296875,1.89208984375,2.13623046875,3.0517578125
7680155,-0.0191650390625,-0.0098876953125,1.0001220703125,1.89208984375,2.25830078125,3.11279296875
7680164,-0.0186767578125,-0.0107421875,1.000244140625,1.8310546875,2.13623046875,3.11279296875
7680172,-0.0186767578125,-0.009765625,0.99951171875,1.89208984375,2.13623046875,3.23486328125
7680181,-0.01953125,-0.0108642578125,0.99951171875,2.0751953125,2.25830078125,3.2958984375
7680190,-0.0201416015625,-0.0106201171875,0.999755859375,2.197265625,2.3193359375,3.173828125
